"","actMeanDR","expMeanDR","Obs_Exp","Above20","hospNum"
"1",1.14942528735632,3.21881620827698,0.357095656595939,0,1
"2",0.943396226415094,3.42930535499587,0.275098344637271,0,2
"3",4,3.34049282829202,1.19742810585382,0,3
"4",4.25531914893617,3.16941652320871,1.34261909653582,1,4
"5",0.869565217391304,3.35133278703637,0.259468477960457,0,5
"6",1.92307692307692,3.07062960590904,0.626280981390984,0,6
"7",6.66666666666667,3.11522080636225,2.14003021970425,1,7
"8",3.33333333333333,3.3351936900215,0.999442204303236,0,8
"9",0,3.17451764089998,0,0,9
"10",2,3.1505728451403,0.634805192041493,0,10
"11",1.11111111111111,3.04259630903251,0.365185189968374,0,11
"12",4.08163265306122,3.28214981097241,1.2435851158945,1,12
"13",4.76190476190476,3.28300197193682,1.45047270839604,1,13
"14",0.970873786407767,2.99539228967299,0.324122416204042,0,14
"15",2.85714285714286,3.1681615474979,0.901829914386571,0,15
"16",0.900900900900901,3.13426142224875,0.287436425853249,0,16
"17",13.9784946236559,3.47745996555803,4.01974278988221,1,17
"18",2.10526315789474,3.17591271660575,0.662884451101897,0,18
"19",0,3.12547195987465,0,0,19
"20",2.04081632653061,2.8377799779865,0.719159463510853,0,20
"21",5.43478260869565,3.19944484004478,1.69866426220981,1,21
"22",2.32558139534884,3.2074969055374,0.72504556164465,0,22
"23",6.18556701030928,3.05353010264253,2.02571017883737,1,23
"24",3.84615384615385,3.33450772258644,1.15343977766246,0,24
"25",3.15789473684211,3.15949909754663,0.99949221042482,0,25
"26",4.04040404040404,3.17788800753002,1.27141171458223,1,26
"27",2.02020202020202,3.26076896703803,0.619547732643292,0,27
"28",4.95049504950495,3.29601797146369,1.5019623959473,1,28
"29",1.9047619047619,3.15502262130791,0.603723691835937,0,29
"30",8.54700854700855,NA,NA,NA,30
"31",6.73076923076923,3.14864691609143,2.13767037401719,1,31
"32",0,3.19081879540804,0,0,32
"33",0,3.29060432230434,0,0,33
"34",14.1414141414141,3.16502764008073,4.46802232066871,1,34
"35",5.95238095238095,3.14054909350639,1.89533128607621,1,35
"36",1.01010101010101,2.97869776510216,0.339108257955929,0,36
"37",3.73831775700935,3.05290428632545,1.22451194220336,1,37
"38",0.884955752212389,3.01635140886929,0.293386158393303,0,38
"39",3.96039603960396,3.12890770718513,1.26574396250469,1,39
"40",2.32558139534884,3.12130807610244,0.745066279472413,0,40
"41",4.31034482758621,3.18398315158408,1.35375867973477,1,41
"42",0,2.96964487806779,0,0,42
"43",2.40963855421687,3.21577593502389,0.749317926032357,0,43
"44",0,3.19910078226822,0,0,44
