"","","Coefficients","SE","P-Value"
"1","Control","0.1071","0.093","0.2527"
"2","Placebo","0.042","0.0762","0.5824"
"3","Low","0.146","0.0759","0.0573"
"4","Medium","0.1759","0.0762","0.0232"
"5","High","0.0266","0.0809","0.7425"
"6","Attachment Baseline","-0.129","0.0304","0"
