"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",-5,-0.856880896731124,-0.166096364280823,24.4454354349729,-0.166096364280823,-0.690784532450301,-0.496924207643228,0.0363844305720139,-4.10834859421594,-0.0227481404675663
"2",-3.9,-0.984459574561276,-0.146430501802567,21.6845871925978,-0.146430501802567,-0.83802907275871,0.087338182045729,0.0705479651778993,-1.69597491678766,-0.0894260998734484
"3",-3.5,-1.09402889596162,-0.174372367194156,23.5766547335178,-0.174372367194156,-0.919656528767463,-0.804165873720706,0.0445715131814898,-7.06465544010073,0.105448040852594
"4",-4.2,-1.16911756472464,-0.166058674453978,25.1235295926529,-0.166058674453978,-1.00305889027066,-1.26742730149353,0.0456789362683544,-2.6776749443603,-0.0707465613363806
"5",-3.4,-1.30212793280658,-0.132796687564621,24.6393720195391,-0.132796687564621,-1.16933124524196,-0.982698432116688,0.0301180181147891,-4.52866375202444,-0.0223668612607447
"6",-5,-0.726430643328365,-0.207179825296014,23.6345534258798,-0.207179825296014,-0.519250818032351,-1.0937664416606,0.0463662703569253,1.43503607593765,-0.150752669871276
"7",-3.8,-0.992808465166031,-0.149016549954722,22.0569042359168,-0.149016549954722,-0.843791915211308,0.49299485298129,0.0524741176746177,-3.77638955706479,-0.0308113750956965
"8",-3.9,-0.938770634546937,-0.158978243295648,21.1670454215585,-0.158978243295648,-0.779792391251289,1.00982000310664,0.0737165721956191,-4.53385115845142,0.00187851633255904
"9",-4.1,-0.875026224866316,-0.13172179988226,23.2825738582239,-0.13172179988226,-0.743304424984056,-1.41710107726845,0.0395599426037619,-3.86627343802357,-0.0193265681535427
"10",-5,-1.00699341382166,-0.169928495138699,24.3297280655263,-0.169928495138699,-0.837064918682959,-1.221397476356,0.0528312152888901,-5.89326511069678,0.0696980483958612
"11",-5,-0.964788186040842,-0.17035941716104,24.5068702371886,-0.17035941716104,-0.794428768879802,-0.298731502479212,0.0481397690863783,-4.0322659163468,-0.0213037225876503
"12",-3.7,-1.19276314055128,-0.163465327124936,25.4577231514069,-0.163465327124936,-1.02929781342634,-0.529601490771142,0.0156262396460956,-3.27968233171645,-0.0498469152295111
"13",-4.9,-1.06785620933094,-0.147142891672426,21.7656302212474,-0.147142891672426,-0.920713317658513,0.152940434334373,0.0956342233240302,-6.66890797361142,0.0641108951395649
"14",-4.5,-1.19446348120158,-0.183043824572974,24.2789726558152,-0.183043824572974,-1.01141965662861,0.176625770023807,0.0586205305681575,-9.16074416056269,0.15586536164149
"15",-3.9,-1.06307104464173,-0.171367702536176,23.3283452766201,-0.171367702536176,-0.891703342105552,-0.327861365994308,0.0603707914892963,-5.38757746731478,0.028055158278095
"16",-4.5,-1.04171682217482,-0.162564382632038,24.4664207910485,-0.162564382632038,-0.879152439542787,0.182133618726373,0.0272235738531666,-4.77040317720079,-0.0082459022268868
"17",-4.8,-1.09213188142821,-0.161304277452151,23.9765624811248,-0.161304277452151,-0.930827603976064,0.0200453010883956,0.0576749877587094,-7.4311339325376,0.0696152561246701
"18",-3.4,-1.01110606786754,-0.159489407120554,21.3134927879459,-0.159489407120554,-0.851616660746983,-0.756717725507238,0.0742432366804581,-1.66035399006633,-0.0590652443342041
"19",-3.8,-1.10922376865019,-0.188319647307004,26.3457708911702,-0.188319647307004,-0.920904121343189,-1.28597695018711,0.0150425627844376,-4.03375227026306,-0.00252696650389143
"20",-5.4,-1.02285331590088,-0.216314825950705,27.7151970510433,-0.216314825950705,-0.806538489950173,-0.739492331444811,0.012438238514413,-5.87226127148687,0.0461154761106412
"21",-3.4,-1.39245483395812,-0.172173037636261,25.6016717581686,-0.172173037636261,-1.22028179632185,-1.28189429766741,0.0257202166738882,-6.36467258151675,0.0840492737678996
"22",-3.3,-1.07826156116008,-0.145339975155978,22.8318693590213,-0.145339975155978,-0.932921586004097,-0.576289099718755,0.0387311866717802,-3.75287770987907,0.00904581221097935
"23",-2.2,-0.95289650793122,-0.159205001802339,20.2771930017484,-0.159205001802339,-0.793691506128882,0.342093656664442,0.0690590125496574,-0.0580394660678348,-0.127683412669345
"24",-5.2,-1.09681308810154,-0.149337249288148,23.9983908171267,-0.149337249288148,-0.947475838813394,-0.262665831662034,0.0636063115637703,-5.26072097875138,0.0172873454716472
"25",-4.5,-1.01361143337604,-0.15563864640615,23.3703256434561,-0.15563864640615,-0.857972786969889,-0.292953637679789,0.0637780862485788,-5.22556633282156,0.0143490070824137
"26",-3,-1.3778920274775,-0.173525204088147,24.8950451024611,-0.173525204088147,-1.20436682338935,-1.12138894201429,0.0426257406012049,-4.60802788769228,-0.00693522562411831
"27",-5,-1.01382514532079,-0.180339680295964,24.6652627684949,-0.180339680295964,-0.833485465024829,0.0332326031120748,0.0424705141721845,-3.66698308127483,-0.0320868142107969
"28",-3.2,-1.2772146677869,-0.172875640894174,23.6572269108336,-0.172875640894174,-1.10433902689273,-0.262354932665137,0.0503177847942187,-4.94107165740811,0.0202881272205694
"29",-5,-1.197686093489,-0.128669653390233,23.2283022785957,-0.128669653390233,-1.06901644009877,0.153012949126087,0.0724383002531081,-7.09986259082079,0.0773842405746884
"30",-3.9,-0.924487377972606,-0.187869908972303,23.5849020992183,-0.187869908972303,-0.736617469000303,-0.675514344014994,0.0483489519964593,-5.69956117115362,0.0513865926947918
"31",-4,-1.12287324903265,-0.14669274731113,24.1530393650087,-0.14669274731113,-0.976180501721515,-0.634252450932653,0.0383055355944374,-8.57385560307415,0.146423003090543
"32",-3.3,-1.39211658083557,-0.136585637953734,24.0370600028065,-0.136585637953734,-1.25553094288184,-0.0102739590116594,0.0385274666590873,-8.41675273492531,0.0886485848511494
"33",-3.3,-1.12365083590337,-0.133716729066474,22.1899875279965,-0.133716729066474,-0.989934106836901,-0.304129113299817,0.0637589727323948,-4.17842923938608,-0.028292843757639
"34",-2.3,-0.844913629917337,-0.149649727082026,21.57100659415,-0.149649727082026,-0.695263902835311,-0.333208587055744,0.0415073851953251,2.86078947696543,-0.228421253974231
"35",-4,-1.05706342689934,-0.169027991654069,23.2506810877546,-0.169027991654069,-0.888035435245275,0.106087540500391,0.0535661336890665,-3.55030505556332,-0.0393519534174711
"36",-3.9,-1.12230280419031,-0.171746616257094,24.0663957309249,-0.171746616257094,-0.950556187933216,-0.298552934173472,0.0499503136364662,-1.74089461951041,-0.0953903293374728
"37",-3.4,-1.31535782165654,-0.207334505609657,24.9441625530145,-0.207334505609657,-1.10802331604688,-0.86509782492403,0.0510680974435716,-6.74049192111906,0.0990776750246926
"38",-3.8,-1.09782005300048,-0.163221387729932,24.3582511618268,-0.163221387729932,-0.93459866527055,-0.357865836721515,0.029389817825786,-3.18932384630492,-0.060040529599825
"39",-3.7,-1.28710362193445,-0.176987429061469,24.6472236436838,-0.176987429061469,-1.11011619287298,-0.802118441483623,0.0450513725099667,-5.41013353365451,0.0458334743163114
"40",-3.3,-1.20853624625412,-0.185612441989389,26.9333598606901,-0.185612441989389,-1.02292380426473,-0.627171611855334,2.74673424111533e-05,-4.57847867329062,-0.0153237138378827
"41",-3.9,-0.868369960593209,-0.133883479665593,21.0837224570634,-0.133883479665593,-0.734486480927616,0.358841365825512,0.0648791952931174,-1.65030613960284,-0.104579029313624
